htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	rights_date_used	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url	full_content
aeu.ark:/13960/t22b9tr8g	1	pd	100268233		AEU	4966991,4966992	720291803	0665407653,9780665407659			The select circulating library containing the best popular literature, including memoirs, biography, novels, tales, travels, voyages, &c.	A. Waldie, 1833.	bib	2014-09-17 03:25:31	0	1833	pau	eng	BK	AEU	ualberta	ualberta	ia	open		https://catalog.hathitrust.org/Record/100268233	https://hdl.handle.net/2027/aeu.ark:/13960/t22b9tr8g	"with the original rrencli   settlers. 'I'he principal part of the lowu runs in one   street, parallel with the river above the lort ; hut to the   eastward of il, on the land side, there is a ennliiiiied sue.   cession of neat private residences liir nearly a mile, allot   which have gardens prettily laid rail, anil even ipiieksil   hedges. These last immediately attracted our alteiilioii,   Isiiig the first I had seen in Ninth Aineriea, though, ul   this time, I had travelled '.^.'lOtlmili's in it. Tlieoreli.irds   are extensive and nnmeroiis, iiineli eider being made in   this part of the province, ami 1 could have faneied myself   in nn Knglish vill.ige, had il not been fiir the iiegrm   with whom the street swariiieil, and whom 1 siioiild   never had expected to see in siieli iiumhers so liir to tin   north.     ( )n the morning rd'tle' 'I'lih of Seplcnibrr wc left Annapolis, pursuing our journey to Bridgetown, fomieen or   lilteeii miles disliiiit,wlii're we crossed to the right bank of   the river and fnllowed its course over a poor and exeeedinglv light soil. 'I'lie low iisliipof Ail'liy, lillein miles in   length, produces only a crop of rye nnil Indian corn in   three or limr years, and then Uih liy for pasture fiir a   lein;tli of time.     The day was stormy, uitli heavy rains, t:nd the coarh   only a seeond-h uid Aiiierie.in one, wilii ""\Vi .tern .Mail,   .New York, and llobokcu,"" upon the doors; neither was   it w.itrr-prool' till c.inv.is-- inrlnins hnimini; dovv n in biiig   Were hitteries thrown up at the shreils, nnd Ibippiiig louinl Iro with I he wind. The horses   '' ' ' ' loo wen- poor s|Meiim'iis of the Nova Seotian vli'i lis, three     out of the tliiir being lame; the eiiachinnn Iiowimt was   periiaps one shade more proli s:.ioiial ill his nppi araiiee   than those in the Slates. 1 alli inpled to Kill lime hy   nndmg IhiUvcr's l)ugine .\ram, but was ineessantly inlerrupled, when ili voiiriiig one of the must interesting   1 haplers, by a prosing lillle womnii eighty years of age,   with Hiiow-wliite hair, rosy cln i ks, hrii;hl hhick eyes.   Mild a set of teeth wliicli would not have disgraced n   llraliinin. She wis the very picture of good health, hut   most un'orlitiiati ly my neii^hboiir, and a;i|i:rrnlly lisik ii   great llinev lo mi', as the full lienefil ol her ""dloi|uial   powern was bestowed upon inc ill roinc luuli iiu' renting     eonversalion as ""Aye, tlie.se barrens are very dreary, hut   you will soon"
aeu.ark:/13960/t25b0f181	1	pdus	100249564		AEU	4938541	716166419	0665050836,9780665050831			Twelve tales with a headpiece, tailpeace, and an intermezzo : being select stories / by Grant Allen.	G. Richards, 1899.	bib	2014-09-17 03:25:32	0	1899	enk	eng	BK	AEU	ualberta	ualberta	ia	open	Allen, Grant, 1848-1899.	https://catalog.hathitrust.org/Record/100249564	https://hdl.handle.net/2027/aeu.ark:/13960/t25b0f181	against the sharp edge deep to the bone.   Here was a pretty accident indeed! If Walter Dene had   been a common heartless murderer he would have snatched   up the knife immediately, left the poor lame dog to watch   and bleed beside his dead master, and skulked off hurriedly   from the mute witness to his accomplished crime. Hut   Walter was made of very different mould from that ;   he could not find it in his heart to leave a poor dumb animal   M 177     THE CURATE OF CHURNSIDE     wounded and bleedinjj for hours together, alone and untended. Just at first, indeed, he tried so})histically to   persuade himself his duty to Cliristina demanded that he   should go away at once, and never mind the sufferings of a   mere spaniel ; but his better nature told him the next   moment that such sophisms were indefensible, and his   humane instincts overcame even the profound instinct of   self-preservation. He sat down quietly beside the warm   corpse. 'Thank goodness,' he said, with a slight shiver of   disgust, * I 'm not one of those weak-minded people who are   troubled by remorse. They would be so overcome by terror   at what they had done that they would want to run away   from the body immediately, at any price. But I don't think   I could feel remorse. It is an incident of lower natures —   natures that are capable of doing actions under one set of   impulses, which they regret when another set comes uppermost in turn. That implies a want of balance, an imperfect   co-ordination of parts and passions. The perfect character   is consistent with itself; shame and repentance are confessions of weakness. For my part, I never do anything   without having first deliberately decided that it is the best   or the only thing to do ; and having so done it, I do not   draw back like a girl from the necessary consequences of my   own act. No fluttering or running away for me. Still, I   must admit that all that blood does look very ghastly.   Poor old gentleman ! I believe he really died almost without knowing it, and that is certainly a great comfort to one   under the circumstances.'     He took King Charlie tenderly in his hands, without   touching the wounded leg, and drew his pocket handkerchief softly from his pocket. ' Poor beastie,' he said   aloud, holding out the cut limb before him, ' you are badly   hurt, I 'm afraid ; but it wasn't my fault. We must see   what
aeu.ark:/13960/t3320jw8c	1	pd	100261565		AEU	4959304	719231098	0665256868,9780665256868			The young gunbearer a tale of the neutral ground, Acadia and the siege of Louisbourg / by G. Waldo Browne ; illustrated by Louis Meynell.	L.C. Page, 1900.	bib	2014-09-17 03:25:49	0	1900	mau	eng	BK	AEU	ualberta	ualberta	ia	open	Browne, George Waldo, 1851-1930.	https://catalog.hathitrust.org/Record/100261565	https://hdl.handle.net/2027/aeu.ark:/13960/t3320jw8c	"I have   wandered from my subject, and this cannot interest   you.""     "" Yes — yes ! go on. Tell me all you can of the   MacDonalds,"" said the Woodranger, his gaze still   fixed on the shore-line.     "" The officers of the king showed their vile natures   by the method they adopted to entrap the unsuspecting Highlanders. Seeking them under the guise of   friendship, no sooner had they feasted at their board   than they turned upon their entertainers and slew   them like sheep, though t^ey made a brave defence.   The majority of the Scots fell fighting for their   homes and loved ones, and not until they were forced   to do so did the survivors flee to the mountains with   their wives and children. The inhuman victors then   burned the houses, drove away the stock, leaving the   wounded to die, and the fugitives in the mountain   fastness to oerish of cold and hunger. It v/as the   darkest day Glencoe ever knew. Among the few   who escaped was a youth of twenty named Robert   Mac Donald, the only son of the old chief, ai»d his   young wife.""     "" Whp.t became of them ? "" asked the Woodranger,   as the other paused in his pathetic tale.     ""I cannot tell you in full, sir. Other troubles   overtook young MacDonald. He was as headstrong   as his father, and his sufferings seemed to develop     '•^^^-^-i     m     e, I have   t interest     an of the   gaze still     le natures     msuspect5 guise of     itir board     and slew     ; defence.     for their     ere forced     tains with     ;tcrs then     aving the     mountain     was the     the few     d Robert     aiid his     odranger,     troubles   ;adstrong   develop     THE SIGNAL OF DANGER.     173     the worst part of his nature. He had two children,   a son and a daughter. The first had something of   his father's spirit, I judge, though I never met him.   The daughter married a young man named Archie   McNiel. Some trouble arose between the brothersin-law, and they quarrelled. One was"
aeu.ark:/13960/t46q2p95g	1	pd	100277487		AEU	5038751	716975393	0665325894,9780665325892			By sheer pluck a tale of the Ashanti war / by G. A. Henty ; with eight full-page illustrations by Gordon Browne.	Blackie; W. Briggs : Copp, Clark, 1897.	bib	2018-01-01 09:04:18	0	1897	onc	eng	BK	AEU	ualberta	ualberta	ia	open	Henty, G. A. 1832-1902.	https://catalog.hathitrust.org/Record/100277487	https://hdl.handle.net/2027/aeu.ark:/13960/t46q2p95g	"and live in the bu<^hes close to   the old plantation. Nobody look for us dere. So we     (200) u      ^.       IMAGE EVALUATION   TEST TARGET (MT-S)     1.0     I.I     l^|Z8 |25     mmm22     us     lit     IM     12.0     m       1 1.25 III U 1.6       <     6""     ►     Fhotographic     Sdences     Corporation     23 WeST MAIN STREET     WEBSTER, N.Y. USM     (7)6) •72-4503       17f     RECAPTURED.     If     I i     h     ! t     h     make our way down and lib there quiet. We get the   yams out ob de plantations and lib very comfortable.   When we tink all ober in the mountain we go back.     "" Well, sar, when we tink it all safe, and we get   widin a mile of de huts whar we had libed, all at once   we came upon a lot of soldiers in camp. Dey see us   and make shout. I call to my wife to run, when dey   lire. A bullet hit de baby, which she hab at her back,   and pass through both deir bodies. I did not run any   more, but jus' stood looking at my wife and chile as   if my senses had gone. Dere I stood till the soldiers   came up. Dey put a cord round my arms and led me   f.way. After a time I was taken down the country.   Dere I was claimed, and when it was known I had   killed a white oberseer I was tried. But de new   oberseer did not want me to be hung, for I was a   strong slave and worth money, so he told a story about   how it happen, and after dey had flogged me very   hard dey sent me back to plantation. Dere I work   for a long time wid a great log of wood chained to my   'ankle to prevent me from running away again.     "" For a time I not care whether I lib or die, but at   last I made up my mind to 'scape again."
aeu.ark:/13960/t4mk72273	1	pd	100265032		AEU	4963065	719975893	0665328060,9780665328060			Tales about Canada by Peter Parley [i.e. S. Clark] ; edited by T. Wilson [i.e. S. Clark].	Darton and Clark, [1839?]	bib	2014-09-17 03:26:16	0	1839	enk	eng	BK	AEU	ualberta	ualberta	ia	open	Clark, Samuel, 1810-1875	https://catalog.hathitrust.org/Record/100265032	https://hdl.handle.net/2027/aeu.ark:/13960/t4mk72273	the trembling   woman, who expected every moment to be murdered, and her little store-house plundered.     f^mm.     TALES ABOUT CANADA.     153     le,   Id     A     or     3     Their alarm was, however, groundless; for,   taking his knife from his sheath, and his tomahawk from his shoulder, he, with a softened   expression, placed them in the hands of the   mother, and, without saying a word, signified, in   the half-English, half-Indian language, that he   required shelter.     The inmates of the cottage were greatly relieved at this turn of affairs, and immediately set   before thc'r visitor some dried beef, and the   best that the log-house would afford. Having   satisfied his appetite, he curled himself up like a   dog, and throwing his skin over him, sunk into a   profound slumber on the floor.     The storm continued to beat without with the   greatest fury. The mother and daughter listened with the utmost intensity to every sound   between the sighings of the blast ; but all was   silent. Hour after hour did they wait, now going   to ^.he door, and looking over the snowy waste,   listening for the loud halloo which should sigtl ■ ■     1     li I     i^     m     ■f     I         I ■''■.     \iM     Hi I     154     PETER PARLEY S     Mi     It     nify her husbanci and sons' approach. They   were, however, at last tired with watching. The   mother paced the apartment with a perturbed   step, while poor Marian sat down in her rude   chair, and sobbed loudly.     The Indian opened his eyes, and observing the   dulness of his hostess and her daughter, in the   rude Indian manner seemed anxious to learn   the cause of their grief, which a few words were   sufficient to explain, owing to the natural sagacity of the Indian. Immediately, the savage,   after his fashion, became a comforter, and   vowed he would bring her husband back dead   or alive, and seizing his arms, instantly left the   cottage.     The mother and daughter were once more alone,   but yet had hope and faith ; they again turned  
aeu.ark:/13960/t4pk0xs1x	1	pd	100257688		AEU	4955038	718476419	0665171099,9780665171093			Euryalus, tales of the sea a few leaves from the diary of a midshipman.	J.D. Potter, 1860.	bib	2014-09-17 03:26:17	0	1860	enk	eng	BK	AEU	ualberta	ualberta	ia	open		https://catalog.hathitrust.org/Record/100257688	https://hdl.handle.net/2027/aeu.ark:/13960/t4pk0xs1x	" I.I     I^|2j8 N2.5     |50 ■^"" lllll^^     1^ 1^ IIIII2.2     ^ U4 I     1.8       1:25 1 1.4 1.6       <     6""     ►     Hiotographic     Sciences   Corporation     33 WEST MAIN SY«:£ET     WIP' £I»,N.Y. 14**0     (716)67}-4Sr3     'o     '/.     ^     CHAPTER III.     THE GALAPAGOS.     GALAPAGOS — POST-OFFICE BAT — QUITO — DEPLOBABLE ACCIDENT —     THE GBAVE — GALLO ISLAND PANAMA BAY — LETTEBS     PANAMA — PRISON — TABOGA — LONG VOYAGE — VANCOU VEB     ISLAND — NATIVES — FLATTERY JACK — SALMON — VICTORIA     FLAT-HEADS — MURDER OF FLATTERY JACK SQUIRREL HUNT —     RESCUE FROM STARVATION — ANOTHER — A SCHOOLFELLOW     BURIAL GROUND — PORT DISCOVERY — BEVENGE — A GAME — A   TENDEB MESSAGE — SCALPING— CBUISE OF THE CUTTER.     Post-office Bat, Charles Island, where we are now at   anchor, is so called from the fact of the buccaneers   under Dampier, «fec., having always placed their letters   under a large stone in one part of this bay for transmission. The bay abounds in fish, seal, turtle, and sharks ;   in one haul of the seine, there were landed three to four   tons of fish, loading the pinnace and whale-boat, half of   which had afterwards to be thrown overboard.     James' Island was found the best in the group   for shelter. Terrapin (land turtle) abound on the   islands, and make excellent soup. The inhabitants   have dwindled from four hundred in number to forty,   since the revolution at Guayaquil ; and only one Eng QUITO.     163     T —     i     tTER     A.     T     )V     — A     at   ers   ers   is:s;   ur   of     lish resident is to be found here, who has married   ti^e Governor's sister, and commands a small trading   schooner.     After traversing the Equator for several days, among   the Galapagos, which islands are directly on it, we   crossed over to the mainland, and had an"
aeu.ark:/13960/t4sj1mk2z	1	pd	100246489		AEU	4935377	716084683	0665000782,9780665000782			Baggage & boots, or, Smith's first peep at America an instructive tale of travel and adventure / [A.B.].	Published for the author by the Sunday School Union, 1883.	bib	2021-01-20 17:04:35	0	1883	enk	eng	BK	AEU	ualberta	ualberta	ia	open	Brassey, Annie, Baroness, 1839-1887.	https://catalog.hathitrust.org/Record/100246489	https://hdl.handle.net/2027/aeu.ark:/13960/t4sj1mk2z	"hours in the cave, and wandered about in it for some   seven miles. It was now night, and pitch dark, so   different from when w^e entered I could scarcely credit   we had again emerged. We followed the guide to the   hotel, where, after a hearty supper, I retired early to rest.     I hoped, by staying until Monday, the water in the   cave would, by that time, have receded sufficiently to   allow of the '^long route"" being visited. On Sunday,   however, the rain poured in torrents ; so much so, that   the guides were of the opinion that there would be little   chance of being able to get by the Echo river for ten   days or a fortnight, so that on Monday I resumed my   journey.     Remembering the exceedingly rough ride I had had   in coming up in the ''stage,"" I determined to return on   foot to Cave City. The road lay, for the most part,   through a wood ; and I frequently left the path, in order to   pick blackberries, and walk under the trees, for the benefit   of the shade they threw. Presently it crossed my mind     SinitKs First Peep at America* 201     that perhaps it was hardly safe, as I was not now in   England or in New England either ; and that possibly the   woods of Kentucky contained wild boars, or some other   wild animal I might not like to meet. By and bye, I came   to a small hamlet, and seeing a blacksmith at work at   a forge by the road side, I stopped to enquire, and to   rest myself awhile.     "" I like walking along these woods. I suppose it's   quite safe ; no wild animals in them ? ""     ""No. It's quite safe.""     ^* I mean, no wild boars, or snakes, or anything of   that kind?""     "" I guess there are no wild boars. There are rattlesnakes, though, but there are not so many of them now   as there used to be. We are srettinof them under.""     "" How do you manage that ? ""     '^ We turn the hogs out on them, and they eat them.""     "" Eat them ! Why, I should have thought they would   have killed a hoof, with their stinor.""     *' I guess not. Nothing seems to come amiss to pigs.   Wherever they see a snake, they rmi after it directly,   and gobble it up"
aeu.ark:/13960/t5w67n75c	1	pd	100288680		AEU	6279777	861561621	0665622708,9780665622700			Norvel Hastings, or, The frigate in the offing a nautical tale of the war of 1812 / by a distinguished novelist.	Garret, [185-?]	bib	2014-09-17 03:26:38	0	1850	nyu	eng	BK	AEU	ualberta	ualberta	ia	open	Distinguished novelist.	https://catalog.hathitrust.org/Record/100288680	https://hdl.handle.net/2027/aeu.ark:/13960/t5w67n75c	"lieutenant before named. "" She walked up to us so boldly,   and she scampered so quickly when she saw our metal, and   found out what we were I""     ""The craft is coming abonrd, sir!"" reported the quartti*   master.     THE FRIGATE IN THE OPriNQ. 73     ""Ay, ay! I'll gee ^^at he wants-"" onri fK« «« f> ,   deck, taking his trumnet w.n. Tl 1 ? ^''''"" ""^^ *^^     and hailed fhe xebe wLlw "".''""' ^""°^""^^ ^'''     ""TTo f].. """"^""""^'/^^ch was now within cable's length     Ho, the smack, ahoy ! Come alongside ' T uff nn M     your mainsail! St*and by there ontfT T. '''''     l^'I wish to speak with the captain.""     ""Ay, ay! come aboard. Three or four nf ,     deck among his ccrantrv'., fn^. . K, . i • . ^^ "" """"'     ford,. .• »'■'»""""•}'» tons; buthis patriotism was buried     or tl,e „™e beneath the vindietive emotions of revenue h:     Ihhl '""? ;r"" """" ™''™""'« ""»'' -""""^ -i; ofTannon   With a sort of e ovation of s-^.inf T^\,ii • u , -^ ""^ ^'*°""od,     -onnd, most of whom were t i' '"" """":'""'' """""" ""^""   Ihcir sunn,>r. .1 • f T ? ^^ ' S™""?""' in messes at     le was bewildered irf ■^^'""P""""'^-'^""""-' ■""""• f"" "" momout     rower whtT, ll I ""■■"" ""^■•P°""'""-'='l ""i""' ""« idea of     rowei whieh all he saw oonvoyed to bis mind,     ""I can tell it only to hin,, sir,"" answered Dirk, Irmly     -:s:ftc''""'''-''''^'''''""^-^-^--'''»««'     ""Can you tell us where we ean ent out . V.nke. fri.,,*     '""}■ man r ■ do„,ando,l the red-nosed lieutenant^ ' ' '     f- ""Lo n,e„„whil<., word ha,l be„„ p„™„, ,,y ,|,e officer to     : .'1     'r(l       •' s,     74     NOBVEL HASTINGS; OR^     the captain, who sent his orderly to escort Dirk to his cabin.   The young coaster, sneered at and twitted by the middies and   loblolly boys as he went aft, only replied by a look of defiano*,   and, following the messenger, he was ushered into the superb   cabin of Lord , captain of His Mf^esty's ship Hellespont. His lordship, a young and effeminate-looking person, was   reclining at length upon an oriental couch, when Harder was   announced. The state-room was throughout furnished"
aeu.ark:/13960/t6252497m	1	pd	100276498		AEU	5037741	716914890	066513505X,9780665135057			The wild man of the West a tale of the Rocky Mountains / by R.M. Ballantyne.	Crosby and Nichols ; O.S. Felt, 1864	bib	2014-09-17 03:26:40	0	1864	mau	eng	BK	AEU	ualberta	ualberta	ia	open	Ballantyne, R. M. 1825-1894.	https://catalog.hathitrust.org/Record/100276498	https://hdl.handle.net/2027/aeu.ark:/13960/t6252497m	"— absolutely   bewildering.     The effect upon our trappers when they entered   was sufficiently strong. They gazed round in   amazement, each giving vent to his feelings in his     17     t     194     THE WILD MAN OP THE WEST.       !li     ■^■i !     i *■     own peculiar exclamatory grunt, or gasp, or cough.   In addition to this, Bounce smote his thigh with   unwonted vigor. Gibault, after gazing for a few   minutes, sighed out something that sounded like   magnijique ! and Bertram grinned from ear to ear ;   — he went further ; he laughed aloud — an unpolite thing to do, in the circumstances, and, for a   grave man like him, an unusual ebullition of feeling. But it was observed and noted that on this   occasion the artist did not draw forth his sketchbook. J     McLeod, who, from his speech and bearing, was   evidently a man of some education, placed chairs   for his visitors, took the lid off a large canister of   tobacco, and pushing it into the middle of the   yellow table, said —     "" Sit ye down, friends, and help yourselves.""     He set them the example by taking down his   own pipe from a nail in the wall, and proceeding   to fill it. Having done so, he took a piece of   glowing charcoal from the fire, and, placing it on   the bowl, began to smoke, glancing the while,   with an amused expression on his grave fiic:, at   the trappers, who, while filling their pipes, kept   gazing round the walls and up at the ceiling.     "" Ha ! "" said he, "" you are struck with our   hall (puff, puff). It's rather (puff) an effective   one (puff). Have a light ? ""     Bounce, to whom the light w^as offered, accepted   the same ; applied it to his pipe, and said —     THE ARTIST OP THE BACKWOODS.     195     "" Well, yes (puff), it is (pufF, puff), raither wot   ye may call (puff) pecooliar.""     "" Most visitors to this place think so,"" said   McLeod. "" The Indians highly approve of it,   and deem me quite a marvel of artistic power.""     "" Wot ! did you paint it ? "" inquired Waller.     "" I did,"" answered McLeod, with a nod."
aeu.ark:/13960/t6931nh3p	1	pd	100268233		AEU	4966991,4966992	720291803	0665407653,9780665407659			The select circulating library containing the best popular literature, including memoirs, biography, novels, tales, travels, voyages, &c.	A. Waldie, 1833.	bib	2014-09-17 03:25:31	0	1833	pau	eng	BK	AEU	ualberta	ualberta	ia	open		https://catalog.hathitrust.org/Record/100268233	https://hdl.handle.net/2027/aeu.ark:/13960/t6931nh3p	"you a better inuii, while it makes you a more   knowing one. Do you rise early? I hojK; you have   already made to yourself the hubil of doing it : if not,   let me conjure you to acquire it. Ueniember yor.r friend   Horace. Kt iii posces ante diem libruin cum luminc, si   nnn intendes uninium studiis, ct rebus lionestis, invidia   vel ainorc miser torquebere. "" If you do not go willi a   lamp before daylight lo your books, — if you do not bend   your mind lo study and virtuous employment, jealousy   or love will soon make you miserable."" Adieu.     Your ever affectionate uncle.     LEITEK VIIL     Aslrop Wells, Se/if. 5, 1754.   My dear nephew — I have been u long lime without   conversing with you, and thanking you Tor the pleasure   of your last letter. Vou may possibly be about to return   to the seat of learning on tlie hanks of the Cam ; but I   will not defer discoursing to you on literary matters till   you leave Cornwall, not doubling but you are mindful of   the muses amidst the very savuge rocks and moots, and   yet more savage natives, of the aneicnt and respectable   duteliy. First, with regard lo the opinion you desire   eoncernin;: a coiiimoii-place book; in general, I much   disapprove the use of it : it is chiefly intended for persons who mean In he; authors, and tends to impair the   memory, and to deprive you of u ready, extempore use   of your reading, by accustoming the mind to discharge   itself of its reading on paper, instead of relying on Us   natural power of retention, aided and fortified by fVequeiit   revisions of its ideas and materials. Some things mu8t   be common-placed in order to be of any use; dates, cliro.   nologicul order, and the like ; for instance, Natlianiel   Bvcon ought to be extracted in the best method you can:   but in general my advice lo you is, not to common-place   upon impcr, but, aa an equivalent to it, to endeavour to   range and melliodise in your head what you read, and   by so doing frequently and habitually to fix matter in   the memory. If you hove not read Burnet's History of   his own Tunes, 1 lieg you will. I hope your fulher is   well. My love lo the girls.     Your ever affectionate,     LEiri;U IX.     I'liij Ojlirr, .I/im7!I, 17.'i."").   My dear iiephiw — I rijoiii' iMriiiirly to hear tlint  "
